DATE_TIME;CPU_1MIN_VALUE;CPU_5MIN_VALUE;CPU_1MIN_PERCENT;CPU_5MIN_PERCENT
23-04-24 09:17;0,04;0,12;4;12
23-04-24 09:22;0,01;0,08;1;8
23-04-24 09:27;0,00;0,03;0;3
23-04-24 09:32;0,01;0,03;1;3
23-04-24 09:37;0,00;0,02;0;2
23-04-24 09:42;0,00;0,01;0;1
23-04-24 09:47;0,01;0,02;1;2
23-04-24 09:52;0,13;0,04;13;4
23-04-24 09:57;0,00;0,02;0;2
23-04-24 10:02;0,00;0,01;0;1
23-04-24 10:07;0,01;0,02;1;2
23-04-24 10:12;0,06;0,04;6;4
23-04-24 10:17;0,03;0,04;3;4
23-04-24 10:22;0,08;0,05;8;5
23-04-24 10:27;0,16;0,15;16;15
23-04-24 10:32;0,01;0,08;1;8
23-04-24 10:37;0,00;0,03;0;3
23-04-24 10:42;0,07;0,04;7;4
23-04-24 10:47;0,01;0,04;1;4
23-04-24 10:52;0,01;0,03;1;3
23-04-24 10:57;0,00;0,01;0;1
23-04-24 11:02;0,03;0,04;3;4
23-04-24 11:07;0,00;0,01;0;1
23-04-24 11:12;0,02;0,03;2;3
23-04-24 11:17;0,00;0,01;0;1
23-04-24 11:22;0,03;0,03;3;3
23-04-24 11:27;0,15;0,08;15;8
23-04-24 11:32;0,00;0,04;0;4
23-04-24 11:37;0,00;0,01;0;1
23-04-24 11:42;0,01;0,03;1;3
23-04-24 11:47;0,00;0,01;0;1
23-04-24 11:52;0,12;0,07;12;7
23-04-24 11:57;0,15;0,09;15;9
23-04-24 12:02;0,03;0,08;3;8
23-04-24 12:07;0,05;0,05;5;5
23-04-24 12:12;0,13;0,05;13;5
23-04-24 12:17;0,26;0,14;26;14
23-04-24 12:22;0,04;0,11;4;11
23-04-24 12:27;0,00;0,04;0;4
23-04-24 12:32;0,12;0,06;12;6
23-04-24 12:37;0,05;0,08;5;8
23-04-24 12:42;0,00;0,03;0;3
23-04-24 12:47;0,00;0,01;0;1
23-04-24 12:52;0,07;0,03;7;3
23-04-24 12:57;0,00;0,02;0;2
23-04-24 13:02;0,00;0,01;0;1
23-04-24 13:07;0,08;0,03;8;3
23-04-24 13:12;0,00;0,01;0;1
23-04-24 13:17;0,00;0,01;0;1
23-04-24 13:22;0,19;0,08;19;8
23-04-24 13:27;0,01;0,04;1;4
23-04-24 13:32;0,04;0,04;4;4
23-04-24 13:37;0,00;0,01;0;1
23-04-24 13:42;0,01;0,03;1;3
23-04-24 13:47;0,08;0,05;8;5
23-04-24 13:52;0,03;0,05;3;5
23-04-24 13:57;0,02;0,03;2;3
23-04-24 14:02;0,16;0,12;16;12
23-04-24 14:07;0,00;0,04;0;4
23-04-24 14:12;0,00;0,01;0;1
23-04-24 14:17;0,01;0,03;1;3
23-04-24 14:22;0,01;0,04;1;4
23-04-24 14:27;0,01;0,04;1;4
23-04-24 14:32;0,00;0,01;0;1
23-04-24 14:37;0,18;0,07;18;7
23-04-24 14:42;0,01;0,05;1;5
23-04-24 14:47;0,03;0,04;3;4
23-04-24 14:52;0,05;0,05;5;5
23-04-24 14:57;0,01;0,03;1;3
23-04-24 15:02;0,03;0,04;3;4
23-04-24 15:07;0,01;0,03;1;3
23-04-24 15:12;0,00;0,01;0;1
23-04-24 15:17;0,00;0,01;0;1
23-04-24 15:22;0,01;0,02;1;2
23-04-24 15:27;0,02;0,02;2;2
23-04-24 15:32;0,00;0,01;0;1
23-04-24 15:37;0,00;0,01;0;1
23-04-24 15:42;0,00;0,01;0;1
23-04-24 15:47;0,00;0,01;0;1
23-04-24 15:52;0,08;0,04;8;4
23-04-24 15:57;0,00;0,02;0;2
23-04-24 16:02;0,04;0,03;4;3
23-04-24 16:07;0,01;0,02;1;2
23-04-24 16:12;0,00;0,01;0;1
23-04-24 16:17;0,08;0,08;8;8
23-04-24 16:22;0,03;0,08;3;8
