DATE_TIME;TOTAL_RAM_VALUE;USED_RAM_VALUE;final
23-04-24 09:17;4046680;278148;7
23-04-24 09:22;4046680;277048;7
23-04-24 09:27;4046680;276752;7
23-04-24 09:32;4046680;276312;7
23-04-24 09:37;4046680;284188;7
23-04-24 09:42;4046680;283932;7
23-04-24 09:47;4046680;291532;7
23-04-24 09:52;4046680;291184;7
23-04-24 09:57;4046680;290656;7
23-04-24 10:02;4046680;248008;6
23-04-24 10:07;4046680;337044;8
23-04-24 10:12;4046680;335184;8
23-04-24 10:17;4046680;341460;8
23-04-24 10:22;4046680;386612;10
23-04-24 10:27;4046680;441364;11
23-04-24 10:32;4046680;446552;11
23-04-24 10:37;4046680;445836;11
23-04-24 10:42;4046680;423112;10
23-04-24 10:47;4046680;413884;10
23-04-24 10:52;4046680;401832;10
23-04-24 10:57;4046680;401336;10
23-04-24 11:02;4046680;377204;9
23-04-24 11:07;4046680;402096;10
23-04-24 11:12;4046680;405072;10
23-04-24 11:17;4046680;417716;10
23-04-24 11:22;4046680;409300;10
23-04-24 11:27;4046680;408556;10
23-04-24 11:32;4046680;408184;10
23-04-24 11:37;4046680;399008;10
23-04-24 11:42;4046680;387764;10
23-04-24 11:47;4046680;375240;9
23-04-24 11:52;4046680;374604;9
23-04-24 11:57;4046680;374000;9
23-04-24 12:02;4046680;340796;8
23-04-24 12:07;4046680;335208;8
23-04-24 12:12;4046680;325892;8
23-04-24 12:17;4046680;339380;8
23-04-24 12:22;4046680;339256;8
23-04-24 12:27;4046680;339652;8
23-04-24 12:32;4046680;335388;8
23-04-24 12:37;4046680;334496;8
23-04-24 12:42;4046680;325740;8
23-04-24 12:47;4046680;325492;8
23-04-24 12:52;4046680;299824;7
23-04-24 12:57;4046680;342108;8
23-04-24 13:02;4046680;326512;8
23-04-24 13:07;4046680;370992;9
23-04-24 13:12;4046680;393732;10
23-04-24 13:17;4046680;397700;10
23-04-24 13:22;4046680;404644;10
23-04-24 13:27;4046680;404768;10
23-04-24 13:32;4046680;397056;10
23-04-24 13:37;4046680;396460;10
23-04-24 13:42;4046680;384308;10
23-04-24 13:47;4046680;392560;10
23-04-24 13:52;4046680;392188;10
23-04-24 13:57;4046680;381028;9
23-04-24 14:02;4046680;378228;9
23-04-24 14:07;4046680;379244;9
23-04-24 14:12;4046680;361240;9
23-04-24 14:17;4046680;373556;9
23-04-24 14:22;4046680;347696;9
23-04-24 14:27;4046680;313044;8
23-04-24 14:32;4046680;312548;8
23-04-24 14:37;4046680;347228;9
23-04-24 14:42;4046680;346232;9
23-04-24 14:47;4046680;346052;9
23-04-24 14:52;4046680;337316;8
23-04-24 14:57;4046680;337056;8
23-04-24 15:02;4046680;320592;8
23-04-24 15:07;4046680;297920;7
23-04-24 15:12;4046680;402992;10
23-04-24 15:17;4046680;394436;10
23-04-24 15:22;4046680;385500;10
23-04-24 15:27;4046680;386080;10
23-04-24 15:32;4046680;415896;10
23-04-24 15:37;4046680;415772;10
23-04-24 15:42;4046680;415260;10
23-04-24 15:47;4046680;408232;10
23-04-24 15:52;4046680;404504;10
23-04-24 15:57;4046680;412656;10
23-04-24 16:02;4046680;396316;10
23-04-24 16:07;4046680;410680;10
23-04-24 16:12;4046680;423436;10
23-04-24 16:17;4046680;464064;11
23-04-24 16:22;4046680;450004;11
23-04-24 16:27;4046680;413564;10
23-04-24 16:32;4046680;404264;10
23-04-24 16:37;4046680;396452;10
23-04-24 16:42;4046680;395584;10
23-04-24 16:47;4046680;395088;10
23-04-24 16:52;4046680;425840;11
23-04-24 16:57;4046680;425840;11
23-04-24 17:02;4046680;409376;10
23-04-24 17:07;4046680;400820;10
23-04-24 17:12;4046680;399720;10
23-04-24 17:17;4046680;404744;10
23-04-24 17:22;4046680;412820;10
23-04-24 17:27;4046680;413712;10
23-04-24 17:32;4046680;404016;10
23-04-24 17:37;4046680;403520;10
23-04-24 17:42;4046680;402776;10
23-04-24 17:47;4046680;394964;10
23-04-24 17:52;4046680;410696;10
23-04-24 17:57;4046680;448548;11
